a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
2444187055,69.85,6.5,4229490,1,2014-04-14 16:53:41,False,False,63215.42362896891,0,0.636007827789,True,MeLlamoAlex__,13,0,0,0,0,6968,0,1.5,10.2,1022,0,False
3036739930,92.15,7.05,9579900,2,2015-02-14 13:15:56,False,False,61282.874457225,0,0.570388349515,True,jagonzalezrh,12,1,0,0,0,12752,0,0.72430471584,11.1,1236,0,False
1603062896,136.3,9.55,45650490,3,2013-07-18 09:49:06,False,False,320887.3346707689,1,0.49354005168,True,TriskelEdic,11,1,0,0,0,3463,0,0.386329113924,11.7,1935,0,False
869963425870471168,128.9,9.56,20783410,1,2017-05-31 17:06:58,True,False,143767.24176511838,5,0.526431718062,True,pina_lasheras,13,0,0,0,0,1080,0,0.922330097087,11.8,1816,0,False
863004345713008640,123.65,9.71,51027290,2,2017-05-12 12:14:04,True,False,435617.37640253454,2,0.614556962025,True,u_igualtat,10,0,0,0,0,478,0,3.52488687783,13.2,1580,0,False
825836144,130.4,10.3,327463160,1,2012-09-15 19:32:48,True,False,745856.7659871749,0,0.557057869118,True,AturandoYesa,12,1,0,0,0,2749,0,0.934243176179,12.3,1849,0,False
344817721,88.25,8.47,51723810,2,2011-07-29 16:48:25,False,False,266096.7479239224,4,0.617346938776,True,JuanbaBosque,12,1,0,0,0,790,0,3.6015625,11.2,1372,0,False
262139412,118.0,9.81,535672520,3,2011-03-07 12:50:45,False,False,5192482.176052488,0,0.570680628272,True,gruiztaus,9,1,0,0,0,1143,0,1.77398720682,11.8,1719,0,False
986211997963509760,138.45,12.7317073171,125839121,1,2018-04-17 11:57:18,False,False,452715.57263903297,0,0.661596958175,True,paraProfesenZgz,15,1,0,0,0,41,0,6.93333333333,12.4,789,0,False
1433760854,34.6,4.18,118474570,2,2013-05-16 18:47:29,False,False,1002129.538332519,0,0.643076923077,True,armhamemoria,12,1,0,0,0,303,0,0.272373540856,13.8,650,0,False
1660926144,55.833333333333336,6.83333333333,24305051166,2,2013-08-10 21:01:36,False,False,67949008.0906715,0,0.97619047619,True,PitPV,5,1,0,0,0,6,0,10.0909090909,11.2,42,0,False
2735518655,135.3,11.69,4039860,1,2014-08-06 21:32:08,True,False,31759.105730640465,17,0.585671342685,True,aristipo60,10,0,0,0,0,10336,0,9.57547169811,11.7,1996,0,False
891035190314885121,85.4,7.08,13218850,1,2017-07-28 20:38:38,True,False,137956.6061087326,7,0.647166361974,True,marquinhosraug,14,1,0,0,0,1710,0,3.15384615385,10.3,1094,0,False
4691547385,137.8,9.42,230974210,1,2016-01-01 20:16:44,True,False,1250393.7235264177,0,0.549912434326,True,Manuel26590462,14,0,0,0,0,251,0,11.1071428571,13.3,1713,0,False
1377189414,128.15,10.79,77882580,2,2013-04-24 14:39:52,False,False,171147.97966806387,1,0.563740856844,True,Entrepobles_Tgn,15,0,0,0,0,2765,0,2.91691104594,12.2,1914,0,False
996091996300333063,0,0,0,0,2018-05-14 18:16:53,True,False,0,0,0,True,boy_superx,10,0,0,0,0,0,0,0,0,0,0,False
996045235124924417,105.5,6.5,2186500,2,2018-05-14 15:11:04,True,False,3713.1550853014473,0,0.565217391304,True,masterPOST_UB,13,0,0,0,0,4,1,6.46666666667,15.6,46,0,False
